Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),,
проигрывать,4352,lose,V,B1,"Golosa, LM",3,проигрывали,Imperf.Plur.Past,"Раньше мы постоянно проигрывали сборной Германии, а теперь наконец выиграли у них матч.","Previously we were constantly losing to the German national team, and now finally have won this match with them.",_,свободное время,,
произведение,4353,creation,N.Neut.Inan,B1,"Golosa, LM",1,произведений,Gen.Plur,На выставке представлено около ста произведений итальянской живописи и графики второй половины девятнадцатого века.,About a hundred works of Italian painting and graphics of the second half of the nineteenth century are on display at the exhibition.,_,свободное время,,
произведение,4354,creation,N.Neut.Inan,B1,"Golosa, LM",2,произведения,Acc.Plur,Для выставки сотрудники музея отобрали произведения из фондов музея и написали к ним тексты.,"For the exhibition, the museum staff selected works from the museum’s archives and wrote texts for them.",_,свободное время,,
произведение,4355,creation,N.Neut.Inan,B1,"Golosa, LM",3,произведение,Nom.Sing,«Война и мир» — наиболее известное произведение Льва Толстого.,"""War and peace"" is the most famous work of Leo Tolstoy.",_,свободное время,,
производить,4356,produce,V,B1,LM,1,производит,Imperf.Sing.3,"Несмотря на сюжет, книга в целом производит светлое впечатление.","Despite the plot, the book as a whole makes a favorable impression.",_,учёба/работа,,
производить,4357,produce,V,B1,LM,2,производить,Imperf.Inf,"С февраля на заводе начали стали производить не только телевизоры, но и компьютеры.","Since February, the factory began to produce not only TVs, but also computers.",_,учёба/работа,,
производить,4358,produce,V,B1,LM,3,производят,Imperf.Plur.3,"Сегодня российские автомобили ВАЗ производят на территории четырёх стран: Украины, Казахстана, Египта и Эквадора.","Today, Russian VAZ cars are produced on the territory of four countries: Ukraine, Kazakhstan, Egypt and Ecuador.",_,учёба/работа,,
производство,4359,production,N.Neut.Inan,B1,LM,1,производства,Gen.Sing,Он предпочитал покупать товары российского производства.,He preferred to buy goods made in Russia.,_,учёба/работа,,
производство,4360,production,N.Neut.Inan,B1,LM,2,производство,Acc.Sing,"Мы надеемся, что нам удастся запустить производство итальянского сыра в России.",We hope that we will be able to launch the production of Italian cheese in Russia.,_,учёба/работа,,
производство,4361,production,N.Neut.Inan,B1,LM,3,производстве,Loc.Sing,Этот металл используется в производстве микросхем.,This metal is used in the manufacture of microchips.,_,учёба/работа,,
произносить,4362,pronounce,V,B1,LM,1,произносит,Imperf.Sing.3,Мой сын очень смешно произносит звук «р».,My son pronounces the ‘r’ sound in a very funny way.,_,"люди, учёба/работа, свободное время, общение",,
произносить,4363,pronounce,V,B1,LM,2,произносил,Imperf.Masc.Sing.Past,"Он всегда улыбался, когда произносил имя своей жены.",He always smiled when he pronounced his wife’s name.,_,"люди, учёба/работа, свободное время, общение",,
произносить,4364,pronounce,V,B1,LM,3,произносят,Imperf.Plur.3,Одно и то же слово в разных диалектах произносят по-разному.,The same word is pronounced differently in different dialects.,_,"люди, учёба/работа, свободное время, общение",,
произношение,4365,pronunciation,N.Neut.Inan,B1,LM,1,произношении,Loc.Sing,"Омонимы — слова, одинаковые в произношении, но разные по смыслу.",Homonyms are words that are pronounced the same way but mean different things.,_,"люди, учёба/работа, свободное время",,
произношение,4366,pronunciation,N.Neut.Inan,B1,LM,2,произношения,Gen.Sing,Существуют разные варианты произношения этого слова.,There exist different variants for the pronounciation of that word.,_,"люди, учёба/работа, свободное время",,
произношение,4367,pronunciation,N.Neut.Inan,B1,LM,3,произношение,Acc.Sing,На уроках английского учителя часто хвалили моё произношение.,"During English lessons, teachers often praised my pronunciation.",_,"люди, учёба/работа, свободное время",,
происходить,4368,happen,V,B1,LM,1,происходит,Imperf.Sing.3,«Что здесь происходит?» — спросила Анна удивлённо.,"“What’s going on here?”, Anna asked in surprise.",_,"свободное время, внутренний мир",,
происходить,4369,happen,V,B1,LM,2,происходило,Imperf.Neut.Sing.Past,"Что происходило дальше, я не знаю, потому что остался в коридоре.",I don't know what happened next because I stayed in the corridor.,_,"свободное время, внутренний мир",,
происходить,4370,happen,V,B1,LM,3,происходят,Imperf.Plur.3,Выборы президента происходят в России раз в шесть лет.,Presidential elections take place in Russia every six years.,_,"свободное время, внутренний мир",,
промышленность,4371,industry,N.Fem.Inan,B1,LM,1,промышленности,Gen.Sing,Для российской промышленности ― это путь в никуда.,For Russian industry this path leads nowhere.,_,"учёба/работа, магазин",,
промышленность,4372,industry,N.Fem.Inan,B1,LM,2,промышленность,Nom.Sing,Промышленность в стране почти отсутствует.,Industry in the country is almost absent.,_,"учёба/работа, магазин",,
промышленность,4373,industry,N.Fem.Inan,B1,LM,3,промышленностью,Ins.Sing,"Выяснилось, что у нас проблемы с пищевой промышленностью.",It turned out that we have problems with the food industry.,_,"учёба/работа, магазин",,
промышленный,4374,industrial,A,B1,LM,1,промышленных,Gen.Plur,Для строительства новых промышленных объектов требуется разрешение мэра.,The mayor's permission is required for the construction of new industrial sites.,_,"описание, учёба/работа, магазин",,
промышленный,4375,industrial,A,B1,LM,2,промышленными,Ins.Plur,Восточная часть города занята промышленными предприятиями.,The eastern part of the city is occupied by industrial enterprises.,_,"описание, учёба/работа, магазин","Something went wrong here, this is the same as the example above.",
промышленный,4376,industrial,A,B1,LM,3,промышленные,Inan.Acc.Plur,Восточная часть города занята промышленными предприятиями.,The eastern part of the city is occupied by industrial enterprises.,_,"описание, учёба/работа, магазин","This is the wrong form: should be Accusative, not Instrumental",
просыпаться,4377,wake up,V,B1,LM,1,просыпался,Imperf.Masc.Sing.Past,В отпуске я просыпался поздно.,I woke up late when I was on vacation.,_,"люди, время",,
просыпаться,4378,wake up,V,B1,LM,2,просыпалась,Imperf.Fem.Sing.Past,Она никогда не просыпалась раньше десяти утра.,She never woke up before ten in the morning.,_,"люди, время",,
просыпаться,4379,wake up,V,B1,LM,3,просыпается,Imperf.Sing.3,Во сколько Марк обычно просыпается?,When does Mark usually wake up?,_,"люди, время",,
процесс,4380,process,N.Masc.Inan,B1,LM,1,процессе,Loc.Sing,В процессе работы мы обнаружили проблемы с оборудованием.,In the course of the job we found problems with the equipment.,_,"учёба/работа, внутренний мир",,
процесс,4381,process,N.Masc.Inan,B1,LM,2,процесс,Nom.Sing,"Если эта встреча состоится, процесс переговоров возобновится.","If this meeting takes place, the negotiation process will resume.",_,"учёба/работа, внутренний мир",,
процесс,4382,process,N.Masc.Inan,B1,LM,3,процесса,Gen.Sing,Для облегчения процесса поиска были внедрены новые технологии.,New technologies have been introduced to facilitate the search process.,_,"учёба/работа, внутренний мир",,
прощаться,4383,say goodbye,V,B1,LM,1,прощается,Imperf.Sing.3,"Он никогда не прощается, когда уходит.",He never says goodbye when he leaves.,_,"внутренний мир, общение",,
прощаться,4384,say goodbye,V,B1,LM,2,прощаясь,Imperf.Gerund,"Прощаясь, не забудьте улыбнуться.","When saying goodbye, don’t forget to smile.",_,"внутренний мир, общение",,
прощаться,4385,say goodbye,V,B1,LM,3,прощаться,Imperf.Inf,Она не любила прощаться с людьми и старалась уходить незаметно.,She didn't like to say goodbye to people so she tried to leave unnoticed.,_,"внутренний мир, общение",,
прыгать,4386,jump,V,B1,"Golosa, LM",1,прыгать,Imperf.Inf,"Откуда у маленьких детей столько энергии, чтобы бегать и прыгать?",Where do little children have so much energy to run and jump?,_,свободное время,,
прыгать,4387,jump,V,B1,"Golosa, LM",2,прыгает,Imperf.Sing.3,"Наша собака весело прыгает, когда мы возвращаемся домой.",Our dog jumps with joy when we come home.,_,свободное время,,
прыгать,4388,jump,V,B1,"Golosa, LM",3,прыгают,Imperf.Plur.3,На Олимпийских играх спортсмены прыгают в высоту на несколько метров.,"At the Olympic games, athletes jump to a height of several meters.",_,свободное время,,
прыгнуть,4389,jump,V,B1,LM,1,прыгнул,Perf.Masc.Sing.Past,Он долго думал и наконец прыгнул с парашютом.,He was thinking for a long time and finally jumped with a parachute.,_,свободное время,,
прыгнуть,4390,jump,V,B1,LM,2,прыгнуть,Perf.Inf,Я бы никогда не согласился прыгнуть с такой высоты.,I would never agree to jump from such a height.,_,свободное время,,
прыгнуть,4391,jump,V,B1,LM,3,прыгнула,Perf.Fem.Sing.Past,Она легко прыгнула в воду и поплыла.,She easily jumped into the water and started swimming.,_,свободное время,,
прямой,4392,straight,A,B1,LM,1,прямая,Nom.Fem.Sing,Прямая трансляция королевской свадьбы начнётся ровно в полдень.,Live broadcast of the Royal wedding will begin exactly at noon.,_,описание,,
прямой,4393,straight,A,B1,LM,2,прямом,Loc.Masc.Sing,Мы вернулись из похода и в прямом смысле упали от усталости.,We came back from hiking and literally fell down from exhaustion.,_,описание,,
прямой,4394,straight,A,B1,LM,3,прямой,Nom.Masc.Sing,"Мы не можем ничего изменить в программе, у нас прямой эфир.","We can’t change anything in the program, we are broadcasting live.",_,описание,,
психологический,4395,psychological,A,B1,LM,1,психологических,Gen.Plur,Эти исследователи проводят много психологических тестов.,These researchers conduct a lot of psychological tests.,_,"описание, внутренний мир",,
психологический,4396,psychological,A,B1,LM,2,психологической,Gen.Fem.Sing,Тебе нужно позвонить в службу психологической помощи.,You need to call psychological help services.,_,"описание, внутренний мир",,
психологический,4397,psychological,A,B1,LM,3,психологического,Gen.Masc.Sing,В современной школе нет психологического комфорта для учеников.,In modern schools there is no psychological comfort for students.,_,"описание, внутренний мир",,
пустой,4398,empty,A,B1,"MiP, LM",1,пустые,Nom.Plur,На столе остались только пустые тарелки и бутылки.,Only empty dishes and bottles remained on the table.,_,"описание, мера",,
пустой,4399,empty,A,B1,"MiP, LM",2,пустыми,Ins.Plur,В гости не приходят с пустыми руками.,It is not considered polite to come to visit someone empty-handed.,_,"описание, мера",,
пустой,4400,empty,A,B1,"MiP, LM",3,пустая,Nom.Fem.Sing,Заниматься этим лишь пустая трата времени.,Doing that is a waste of time.,_,"описание, мера",,
путешественник,4401,traveler,N.Masc.Anim,B1,LM,1,путешественники,Nom.Plur,Этот секрет мне рассказали опытные путешественники.,This secret was told to me by experienced travelers.,_,"люди, путешествие",,
путешественник,4402,traveler,N.Masc.Anim,B1,LM,2,путешественников,Gen.Plur,"Отель вполне подходит как для путешественников, так и для людей, приехавших в командировку.",The hotel is quite suitable for both travelers and people who come on a business trip.,_,"люди, путешествие",,
путешественник,4403,traveler,N.Masc.Anim,B1,LM,3,путешественник,Nom.Sing,"Андрей — самый активный путешественник из всех людей, которых я знаю.",Andrey is the most active traveler of all the people I know.,_,"люди, путешествие",,
негде,4404,nowhere,V,B1,LM,1,негде,,,,_,описание,"This is not a noun, adjective, or verb",Ему негде взять денег на операцию.
путь,4405,route,N.Masc.Inan,B1,LM,1,путь,Acc.Sing,Сейчас соберу чемодан и можно отправляться в путь!,I will pack a suitcase right now and we can hit the road!,_,"путешествие, транспорт",,
путь,4406,route,N.Masc.Inan,B1,LM,2,пути,Loc.Sing,"Он не боялся трудностей, которые могут встретиться в пути.",He was not afraid of the difficulties that might come in his way.,_,"путешествие, транспорт",,
путь,4407,route,N.Masc.Inan,B1,LM,3,путём,Ins.Sing,"Он не сомневался, что идёт верным путём.",He had no doubt that he was on the right track.,_,"путешествие, транспорт",,
пытаться,4408,try,V,B1,LM,1,пытался,Imperf.Masc.Sing.Past,"Я пытался помочь ему, но ничего не получилось.","I tried to help him, but it didn't work.",_,учёба/работа,,
пытаться,4409,try,V,B1,LM,2,пытается,Imperf.Sing.3,Он уже десять минут пытается открыть дверь — что-то сломалось.,He's been trying to open the door for ten minutes — something's broken.,_,учёба/работа,,
пытаться,4410,try,V,B1,LM,3,пытались,Imperf.Plur.Past,"Сломанные вещи они даже не пытались чинить, а сразу покупали новые.","They didn't even try to repair the broken things, but immediately bought new ones.",_,учёба/работа,,
пьеса,4411,play,N.Fem.Inan,B1,"Golosa, LM",1,пьеса,Nom.Sing,Пьеса шла с большим успехом в театрах Москвы.,The play had great success in Moscow theaters.,_,свободное время,,
пьеса,4412,play,N.Fem.Inan,B1,"Golosa, LM",2,пьесы,Gen.Sing,Автор этой пьесы остался для нас неизвестным.,The author of this play remained unknown to us.,_,свободное время,,
пьеса,4413,play,N.Fem.Inan,B1,"Golosa, LM",3,пьесу,Acc.Sing,Ты уже прочитал пьесу? Что думаешь?,Have you read the play yet? What you think?,_,свободное время,,
равный,4414,equal,A,B1,LM,1,равно,Adverb,"Мне было всё равно, куда идти.",I didn't care where I went.,_,"описание, мера",,
равный,4415,equal,A,B1,LM,2,равных,Loc.Plur,"Она считала, что с детьми нужно общаться на равных.",She believed that one should talk to children as to equals.,_,"описание, мера",,
равный,4416,equal,A,B1,LM,3,равна,Fem.Sing,Чему равна глубина океана?,What is the depth of the ocean?,_,"описание, мера",,
радовать,4417,make someone happy,V,B1,LM,1,радует,Imperf.Sing.3,"Ты очень изменился, и это меня радует.","You've changed a lot, and that makes me happy.",_,"люди, внутренний мир",,
радовать,4418,make someone happy,V,B1,LM,2,радовать,Imperf.Inf,"Если цветы не поливать, то они будут радовать вас недолго.","If the flowers are not watered, they won't make you happy for long.",_,"люди, внутренний мир",,
радовать,4419,make someone happy,V,B1,LM,3,радовал,Imperf.Masc.Sing.Past,После развода с мужем даже любимый пёс её не радовал.,"After the divorce with her husband, even her beloved dog didn’t make her happy.",_,"люди, внутренний мир",,
радоваться,4420,be happy,V,B1,"MiP, LM",1,радоваться,Imperf.Inf,"Почему в мире так мало людей, способных искренне радоваться чужому успеху?",Why are there so few people in the world who can truly be happy about someone else's success?,_,"люди, внутренний мир",,
радоваться,4421,be happy,V,B1,"MiP, LM",2,радуется,Imperf.Sing.3,"Когда он правильно называет слово на иностранном языке, он радуется, как ребёнок.","When he says the right word in a foreign language, he is as happy as a child.",_,"люди, внутренний мир",,
радоваться,4422,be happy,V,B1,"MiP, LM",3,радовались,Imperf.Plur.Past,Все в зале радовались быстрому началу концерта.,Everyone in the concert hall was happy when the concert started right away.,_,"люди, внутренний мир",,
развиваться,4423,develop,V,B1,LM,1,развиваться,Imperf.Inf,В последние годы рынок беспилотных автомобилей стал активно развиваться.,In recent years the market for driverless vehicles has been actively developing.,_,учёба/работа,,
развиваться,4424,develop,V,B1,LM,2,развивается,Imperf.Sing.3,"Президент считает, что самое главное, что страна стабильно развивается экономически.",The President believes that the most important thing is that the country is developing economically.,_,учёба/работа,,
развиваться,4425,develop,V,B1,LM,3,развиваются,Imperf.Plur.3,Его компании быстро развиваются.,His companies are developing quickly.,_,учёба/работа,,
предлог,4426,preposition,N.Masc.Inan,B1,LM,1,предлогом,Ins.Sing,Под предлогом благотворительности они пытались украсть деньги.,Under the pretext of charity they tried to steal money.,_,"учёба/работа, общение",,
предлог,4427,preposition,N.Masc.Inan,B1,LM,2,предлогами,Ins.Plur,Слова в именительном падеже редко употребляются с предлогами.,Words in the nominative case are rarely used with prepositions.,_,"учёба/работа, общение"," Actually, this is not true: что это за люди? Can you change it to редко употребляются?",
предлог,4428,preposition,N.Masc.Inan,B1,LM,3,предлог,Acc.Sing,Ты забыл поставить предлог в это предложение.,You forgot to put a preposition in that sentence.,_,"учёба/работа, общение",,
лингвистика,4429,linguistics,N.Fem.Inan,B1,LM,1,лингвистики,Gen.Sing,Александр — доцент факультета лингвистики.,Alexander is a senior lecturer at the Faculty of linguistics.,_,учёба/работа,,
лингвистика,4430,linguistics,N.Fem.Inan,B1,LM,2,лингвистике,Loc.Sing,Он теперь академик и очень важная в лингвистике фигура.,He is now an academician and a very important figure in linguistics.,_,учёба/работа,,
лингвистика,4431,linguistics,N.Fem.Inan,B1,LM,3,лингвистику,Acc.Sing,"Закончив школу, он решил изучать лингвистику в университете.","After graduating from school, he decided to study linguistics at the university.",_,учёба/работа,,
развитие,4432,development,N.Neut.Inan,B1,LM,1,развития,Gen.Sing,Игры с другими детьми очень полезны для развития ребёнка.,Games with other children are very good for the development of a child.,_,"внутренний мир, учёба/работа",,
развитие,4433,development,N.Neut.Inan,B1,LM,2,развитие,Acc.Sing,Николай взял кредит на развитие бизнеса.,Nikolay took a loan to develop his business.,_,"внутренний мир, учёба/работа",,
развитие,4434,development,N.Neut.Inan,B1,LM,3,развитии,Loc.Sing,"Он считает, что страна отстала в развитии на несколько веков.",He believes that the country is several centuries behind in its development.,_,"внутренний мир, учёба/работа",,
разделять,4435,share,V,B1,LM,1,разделяет,Imperf.Sing.3,Эта актриса чётко разделяет личное и публичное.,This actress strictly separates her personal life from her public life.,_,"люди, общение",,
разделять,4436,share,V,B1,LM,2,разделяла,Imperf.Fem.Sing.Past,Она не разделяла его взглядов на семью.,She didn't share his views on the family.,_,"люди, общение",,
разделять,4437,share,V,B1,LM,3,разделяют,Imperf.Plur.3,Друзья не разделяют его оптимизма.,His friends do not share his optimism.,_,"люди, общение",,
разделяться,4438,split,V,B1,LM,1,разделяются,Imperf.Plur.3,Со временем друзья разделяются на группы по интересам.,"Over time, friends are divided into groups according to their interests.",_,описание,,
разделяться,4439,split,A,B1,LM,2,разделяющиеся,Nom.Plur,"В зале были зрители, разделяющиеся на тех, кто купил билет, и тех, кого пригласили актёры.",The audience was divided into those who bought tickets and those who were invited by the actors.,_,описание,,
разделяться,4440,split,V,B1,LM,3,разделяется,Imperf.Sing.3,Через пять километров река разделяется на две.,After five kilometers the river splits in two.,_,описание,,
разница,4441,difference,N.Fem.Inan,B1,"Golosa, LM",1,разница,Nom.Sing,В чём разница между любовью и дружбой?,What is the difference between love and friendship?,_,мера,,
разница,4442,difference,N.Fem.Inan,B1,"Golosa, LM",2,разницы,Gen.Sing,Для нас нет принципиальной разницы — придёт он или нет.,For us there is no fundamental difference whether he comes or not.,_,мера,,
разница,4443,difference,N.Fem.Inan,B1,"Golosa, LM",3,разницу,Acc.Sing,Ты можешь объяснить мне разницу между бензином и дизелем?,Can you tell me the difference between gasoline and diesel fuel?,_,мера,,
разрешать,4444,allow,V,B1,"Golosa, LM",1,разрешает,Imperf.Sing.3,Он не разрешает сотрудникам опаздывать.,He doesn't allow employees to be late.,_,"люди, общение",,
разрешать,4445,allow,V,B1,"Golosa, LM",2,разрешают,Imperf.Plur.3,Родители не разрешают Васе есть конфеты.,His parents don’t allow Vasya to eat candy.,_,"люди, общение",,
разрешать,4446,allow,V,B1,"Golosa, LM",3,разрешать,Imperf.Inf,Директор не хочет разрешать сотрудникам ходить на работу в джинсах.,The director does not want to allow employees to wear jeans to work.,_,"люди, общение",,
расписание,4447,schedule,N.Neut.Inan,B1,"Golosa, LM",1,расписания,Gen.Sing,"Учёба начинается через неделю, а у нас всё ещё нет расписания занятий.","School starts in a week, and we still don't have a schedule of classes.",_,учёба/работа,,
расписание,4448,schedule,N.Neut.Inan,B1,"Golosa, LM",2,расписанию,Dat.Sing,Поезд Москва-Казань прибудет по расписанию.,The Moscow-Kazan train will arrive on schedule.,_,учёба/работа,,
расписание,4449,schedule,N.Neut.Inan,B1,"Golosa, LM",3,расписание,Acc.Sing,Он хотел узнать расписание поездов до Воронежа.,He wanted to know the schedule for trains to Voronezh.,_,учёба/работа,,
революция,4450,revolution,N.Fem.Inan,B1,"Golosa, LM",1,революции,Gen.Sing,Он был свидетелем революции в России в 1917 году.,He witnessed the revolution in Russia in 1917.,_,политика,,
революция,4451,revolution,N.Fem.Inan,B1,"Golosa, LM",2,революция,Nom.Sing,Великая французская революция произошла четырнадцатого июля 1789 года.,The French Revolution took place on July 14th 1789.,_,политика,,
революция,4452,revolution,N.Fem.Inan,B1,"Golosa, LM",3,революцию,Acc.Sing,Оппозиции не удалось провести в стране революцию.,The opposition failed to carry out a revolution in the country.,_,политика,,
редкий,4453,rare,A,B1,LM,1,редки,Plur,Случаи заболевания корью в современном мире достаточно редки.,Cases of measles in the modern world are quite rare.,_,"мера, описание",,
редкий,4454,rare,A,B1,LM,2,редкое,Nom.Neut.Sing,Болезнь Фабри — редкое наследственное заболевание.,Fabry's disease is a rare genetic disorder.,_,"мера, описание",,
редкий,4455,rare,A,B1,LM,3,редкие,Nom.Plur,Редкие виды животных находятся на грани исчезновения.,Rare species of animals are on the verge of extinction.,_,"мера, описание",,
резать,4456,cut,V,B1,LM,1,режет,Imperf.Sing.3,"Для салата Катя режет лук, а Петя — помидоры.",For the salad Katya is slicing up onions and Petya is slicing up tomatoes.,_,еда,,
резать,4457,cut,V,B1,LM,2,резать,Imperf.Inf,"Она не любит резать лук, потому что плачет от этого.",She doesn't like to slice onions because it makes her cry.,_,еда,,
резать,4458,cut,V,B1,LM,3,режут,Imperf.Plur.3,"Он так громко кричал, как будто его режут.",He was screaming so loud as if he was being wounded.,_,еда,,
ректор,4459,rector,N.Masc.Anim,B1,LM,1,ректорами,Ins.Plur,В нашем университете только мужчины были ректорами.,It was only men who were rectors in our university.,_,"люди, учёба/работа",,
ректор,4460,rector,N.Masc.Anim,B1,LM,2,ректор,Nom.Sing,Кто ректор в вашем университете?,Who is the rector of your university?,_,"люди, учёба/работа",,
рецепт,4461,recipie,N.Masc.Inan,B1,"Golosa, LM",1,рецепт,Nom.Sing,Это очень лёгкий рецепт! Тебе понадобится всего пятнадцать минут.,It’s a very easy recipe! It will take just fifteen minutes.,_,еда,,
рецепт,4462,recipie,N.Masc.Inan,B1,"Golosa, LM",2,рецептов,Gen.Plur,"Я попробовал больше двадцати рецептов тирамису, пока не нашёл идеальный.",I tried more than twenty recipes of tiramisu before I found the perfect one.,_,еда,? Do we need the negation не after пока?,"true, better with не"
рецепт,4463,recipie,N.Masc.Inan,B1,"Golosa, LM",3,рецепты,Nom.Plur,Ане нравились рецепты выпечки из новой книги.,Anya liked the baking recipes in the new book.,_,еда,,
речь,4464,speech,N.Fem.Inan,B1,"Golosa, LM",1,речь,Nom.Sing,"Здесь речь идёт не только о любви, но и о смысле жизни.","Here we are talking not only about love, but also about the meaning of life.",_,"общение, учёба/работа",,
речь,4465,speech,N.Fem.Inan,B1,"Golosa, LM",2,речи,Gen.Sing,О такой дорогой покупке и речи быть не могло!,Such an expensive purchase was out of the question!,_,"общение, учёба/работа",,
речь,4466,speech,N.Fem.Inan,B1,"Golosa, LM",3,речью,Ins.Sing,В начале вечера выступил президент с небольшой речью.,At the beginning of the evening the President gave a short speech.,_,"общение, учёба/работа",,
решительный,4467,decisive,A,B1,LM,1,решительным,Ins.Masc.Sing,В детстве он был решительным и независимым ребёнком.,"As a child, he was decisive and independent.",_,"описание, внутренний мир",,
решительный,4468,decisive,A,B1,LM,2,решительный,Inan.Acc.Masc.Sing,Она дала решительный ответ на их предложение.,She gave a decisive response to their proposal.,_,"описание, внутренний мир",,
решительный,4469,decisive,A,B1,LM,3,решительных,Gen.Plur,Пришла пора для решительных действий.,The time has come for decisive action.,_,"описание, внутренний мир",,
рисунок,4470,picture,N.Masc.Inan,B1,LM,1,рисунок,Nom.Sing,Маме всегда нравится рисунок её ребёнка.,A mother always likes her child’s drawing.,_,свободное время,,
рисунок,4471,picture,N.Masc.Inan,B1,LM,2,рисунок,Acc.Sing,Кто нарисовал этот рисунок?,Who drew this picture?,_,свободное время,,
рисунок,4472,picture,N.Masc.Inan,B1,LM,3,рисунка,Gen.Sing,"Без рисунка не понятно, как собрать кровать.",Without a drawing it is not clear how to make the bed.,_,свободное время,I'm confused. I don't know why you would need a drawing in order to make a bed.,
рождество,4473,Christmas,N.Neut.Inan,B1,"Golosa, LM",1,рождества,Gen.Sing,Они не виделись с прошлого Рождества.,They haven't seen each other since last Christmas.,_,"время, политика, свободное время",,
рождество,4474,Christmas,N.Neut.Inan,B1,"Golosa, LM",2,рождеством,Ins.Sing,В России поздравляют с Рождеством седьмого января.,In Russia people celebrate Christmas on the 7th of January.,_,"время, политика, свободное время",,
рождество,4475,Christmas,N.Neut.Inan,B1,"Golosa, LM",3,рождество,Acc.Sing,Где вы празднуете Рождество в этом году?,Where will you celebrate Christmas this year?,_,"время, политика, свободное время",,
роза,4476,rose,N.Fem.Inan,B1,"MiP, LM",1,розы,Nom.Plur,"Я не люблю, как пахнут розы.",I don't like the smell of roses.,_,"животные/растения, магазин",,
